Time of the day,Number of hosts up
2020-02-06 20:40:00,71
2020-02-06 20:50:00,70
2020-02-06 21:00:00,68
2020-02-06 21:10:00,67
2020-02-06 21:20:00,66
2020-02-06 21:30:00,70
2020-02-06 21:40:00,71
2020-02-06 21:50:00,74
2020-02-06 22:00:00,78
2020-02-06 22:10:00,81
2020-02-06 22:20:00,79
2020-02-06 22:30:00,81
2020-02-06 22:40:00,82
2020-02-06 22:50:00,78
2020-02-06 23:00:00,77
2020-02-06 23:10:00,76
2020-02-06 23:20:00,80
2020-02-06 23:30:00,80
2020-02-06 23:40:00,79
2020-02-06 23:50:00,77
